                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1662,                 1.4609,                 1.2432,                0.62927,                0.54906,                0.59641,                0.44299,                 1.0962,                 1.1474,                 1.1359,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2182,                 1.4607,                 1.2699,                0.63144,                  0.574,                0.62094,                0.46602,                 1.0787,                 1.0926,                 1.1227,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1192,                 1.3601,                 1.2116,                0.67746,                0.59719,                0.64875,                0.48562,                 1.0688,                 1.0593,                 1.1147,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                  1.124,                  1.262,                 1.2111,                0.69189,                0.61162,                0.66207,                0.49742,                  1.059,                 1.0325,                 1.1061,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1642,                 1.3063,                 1.2236,                0.69578,                 0.6214,                 0.6787,                0.50575,                 1.0467,                 1.0076,                 1.0947,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1774,                 1.2672,                  1.206,                 0.7013,                0.61932,                0.68892,                0.51158,                 1.0427,                 1.0067,                 1.0891,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                  1.106,                 1.1629,                  1.189,                   0.76,                0.61138,                0.70044,                0.52054,                 1.0398,                 1.0001,                 1.0882,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1251,                 1.1306,                 1.1883,                0.76839,                0.62692,                0.71895,                0.53774,                 1.0309,                0.97447,                  1.083,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0471,                 1.1306,                 1.1758,                0.74443,                0.65619,                0.72801,                0.54974,                 1.0186,                0.92889,                 1.0775,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0773,                 1.1218,                 1.1652,                 0.7446,                0.66567,                 0.7355,                0.55526,                 1.0069,                0.89694,                 1.0715,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0613,                 1.0753,                 1.1802,                0.78666,                0.63313,                0.74518,                0.56744,                0.99766,                0.86916,                 1.0684,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0785,                 1.0764,                 1.1662,                0.78498,                0.64688,                0.75684,                0.57402,                0.98633,                0.85193,                 1.0637,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0189,                 1.0911,                 1.1577,                0.80375,                 0.6514,                0.76779,                0.58333,                0.98049,                0.83739,                 1.0622,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0817,                 1.0449,                 1.1501,                 0.7975,                0.67046,                0.77607,                 0.5915,                0.97203,                0.82243,                 1.0563,             0.00010486,             0.00010486,             0.00010486
                     15,                 1.0269,                 0.9965,                  1.142,                0.81176,                0.68208,                0.78399,                0.60473,                0.95222,                0.79495,                  1.046,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0772,                 1.0593,                 1.1665,                0.81303,                0.69212,                0.77853,                0.60642,                0.93229,                0.77295,                 1.0363,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0221,                 1.0022,                 1.1364,                0.81756,                  0.687,                0.79456,                0.61058,                0.92539,                0.75769,                 1.0309,             0.00010133,             0.00010133,             0.00010133
                     18,                 1.0216,                0.98167,                 1.1377,                0.84259,                0.69022,                0.80189,                0.61845,                 0.9205,                0.74989,                 1.0262,             0.00010015,             0.00010015,             0.00010015
                     19,                 1.0107,                0.93405,                 1.1018,                0.84092,                0.71417,                0.80189,                0.62167,                0.91216,                0.73998,                 1.0215,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                 1.0278,                0.98417,                  1.145,                0.81365,                0.73013,                 0.7967,                0.62305,                0.90789,                0.73073,                 1.0182,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 1.0071,                0.92046,                 1.1117,                0.81738,                 0.7273,                0.79952,                0.63284,                    0.9,                0.72102,                 1.0147,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 1.0065,                0.99558,                 1.1315,                0.82641,                0.72112,                0.81011,                 0.6365,                0.89288,                 0.7138,                 1.0114,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                 1.0043,                0.92703,                 1.1187,                0.85731,                0.71243,                0.81207,                0.64286,                0.89053,                0.71018,                 1.0114,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                 1.0027,                0.92798,                 1.1178,                0.87406,                0.70761,                0.81274,                 0.6461,                 0.8883,                0.70684,                 1.0095,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.96454,                0.87328,                 1.0867,                0.86016,                0.71998,                0.82309,                0.64959,                0.88411,                0.69716,                 1.0067,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                0.98601,                0.87748,                 1.1256,                0.85822,                0.72424,                0.81552,                0.65223,                0.87783,                0.68556,                 1.0024,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.94724,                0.88528,                 1.0905,                0.87224,                0.72302,                0.82032,                0.65501,                0.86853,                0.67801,                0.99756,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                0.96776,                0.87166,                 1.0719,                 0.8584,                0.73518,                0.82497,                0.66224,                0.86135,                0.66951,                0.99435,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                0.95894,                0.88537,                 1.0951,                0.84455,                0.75076,                0.82623,                  0.668,                0.85354,                0.66459,                0.98918,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                0.92408,                0.87905,                 1.0988,                0.86467,                0.74006,                0.83008,                0.66811,                0.84784,                0.66025,                0.98594,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                0.95179,                0.84385,                 1.1029,                0.87884,                0.72721,                0.83975,                 0.6678,                0.84206,                0.65257,                0.98252,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                0.94001,                0.83548,                 1.0932,                0.84499,                0.74716,                0.84456,                0.67198,                0.83929,                0.64664,                0.98104,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     33,                0.96191,                0.83587,                 1.0746,                0.87476,                 0.7347,                0.85048,                0.67895,                0.83171,                0.63446,                0.97823,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.92578,                 0.7947,                 1.0552,                0.85738,                0.75817,                0.85394,                  0.683,                0.82658,                0.62748,                0.97575,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 0.8924,                0.81815,                 1.0816,                0.77564,                0.82403,                0.85556,                0.68726,                0.82439,                0.62288,                0.97412,             8.0123e-05,             8.0123e-05,             8.0123e-05
